,x,y,z
0,233268.17,4283341.92,128.07
1,233270.27000000002,4283343.76,128.03
2,233292.61000000002,4283344.54,127.74000000000001
3,233295.43,4283341.82,127.78
4,233298.6,4283342.71,127.7
5,233304.71,4283343.8100000005,127.58
6,233308.7,4283342.8,127.60000000000001
7,233310.72,4283342.95,127.61
8,233310.63,4283340.99,127.63000000000001
9,233315.52000000002,4283339.44,127.60000000000001
10,233315.64,4283342.2700000005,127.57000000000001
11,233319.61000000002,4283340.75,127.59
12,233321.58000000002,4283339.96,127.57000000000001
13,233321.67,4283341.83,127.52
14,233321.71,4283342.79,127.53
15,233266.48,4283344.28,128.07
16,233266.44,4283343.29,128.1
17,233266.39,4283342.32,128.12
18,233272.4,4283340.7700000005,128.09
19,233285.82,4283342.73,127.86
20,233285.86000000002,4283343.7,127.87
21,233287.89,4283341.9,127.84
22,233287.93,4283342.84,127.84
23,233294.0,4283340.92,127.78
24,233297.28,4283341.95,127.75
25,233297.24,4283340.97,127.77
26,233306.44,4283339.64,127.66
27,233306.63,4283343.47,127.64
28,233320.2,4283342.5,127.57000000000001
29,233322.21,4283340.66,127.53
30,233325.14,4283339.28,127.5
31,233325.19,4283340.25,127.54
32,233326.48,4283342.85,127.46000000000001
33,233325.26,4283287.93,127.7
34,233325.35,4283289.78,127.7
35,233325.39,4283290.73,127.67
36,233325.43,4283291.66,127.64
37,233325.47,4283292.6,127.67
38,233325.52000000002,4283293.53,127.64
39,233325.56,4283294.48,127.68
40,233325.6,4283295.41,127.68
41,233325.64,4283296.35,127.69
42,233325.72,4283298.22,127.65
43,233326.4,4283321.71,127.54
44,233326.45,4283322.66,127.54
45,233326.49,4283323.59,127.5
46,233326.59,4283325.5200000005,127.53
47,233326.64,4283326.46,127.52
48,233324.26,4283254.49,127.57000000000001
49,233324.21,4283253.47,127.55
50,233324.16,4283252.46,127.56
51,233324.11000000002,4283251.47,127.56
52,233324.05000000002,4283250.45,127.53
53,233324.01,4283249.43,127.53
54,233323.96,4283248.44,127.52
55,233323.91,4283247.43,127.5
56,233322.55000000002,4283205.42,127.28
57,233322.65,4283207.35,127.29
58,233322.7,4283208.32,127.34
59,233217.03,4283346.46,128.27
60,233222.98,4283346.11,128.28
61,233236.03,4283342.41,128.35
62,233242.37,4283343.74,128.26
63,233242.46,4283345.64,128.2
64,233251.82,4283345.51,128.11
65,233252.54,4283341.4,128.25
66,233254.68,4283341.99,128.27
67,233260.95,4283343.32,128.18
68,233261.04,4283345.24,128.12
69,233264.15,4283344.32,128.06
70,233264.07,4283342.39,128.16
71,233205.69,4283346.78,128.06
72,233205.6,4283344.8100000005,128.12
73,233207.7,4283347.26,128.19
74,233213.61000000002,4283343.8100000005,128.54
75,233214.71,4283347.34,128.3
76,233217.83000000002,4283347.29,128.22
77,233217.79,4283346.33,128.3
78,233219.80000000002,4283347.09,128.27
79,233225.89,4283347.11,128.24
80,233231.80000000002,4283344.15,128.32
81,233241.75,4283341.79,128.35
82,233256.09,4283341.3,128.29
83,233258.30000000002,4283345.88,128.13
84,233259.0,4283341.19,128.25
85,233262.42,4283345.72,128.09
86,233181.9,4283344.22,127.74000000000001
87,233182.07,4283348.03,127.73
88,233191.2,4283347.78,127.79
89,233192.07,4283346.86,127.81
90,233194.02000000002,4283346.75,127.78
91,233194.06,4283347.7,127.8
92,233181.21,4283346.9,127.71000000000001
93,233181.16,4283345.93,127.72
94,233182.14,4283347.17,127.67
95,233183.19,4283345.09,127.7
96,233193.54,4283347.69,127.81
97,233195.54,4283347.2,127.74000000000001
98,233195.4,4283344.26,127.8
99,233203.54,4283345.34,128.06
100,233208.87,4283343.0200000005,128.42000000000002
101,233209.95,4283347.42,128.32
102,233210.97,4283346.49,128.37
103,233210.88,4283344.51,128.46
104,233211.87,4283345.15,128.43
105,233213.04,4283346.61,128.34
106,233212.94,4283344.63,128.49
107,233213.75,4283343.5200000005,128.48
108,233213.79,4283344.47,128.48
109,233213.84,4283345.39,128.42000000000002
110,233213.93,4283347.29,128.3
111,233214.84,4283344.83,128.44
112,233215.9,4283346.04,128.33
113,233217.92,4283346.1,128.3
114,233217.96,4283347.04,128.27
115,233218.94,4283346.45,128.25
116,233218.85,4283344.45,128.35
117,233219.92,4283345.71,128.33
118,233221.83000000002,4283344.11,128.35
119,233221.87,4283345.03,128.3
120,233221.92,4283345.99,128.28
121,233222.89,4283344.12,128.33
122,233225.0,4283344.98,128.3
123,233229.96,4283343.79,128.37
124,233230.05000000002,4283345.68,128.27
125,233231.09,4283344.78,128.29
126,233232.0,4283343.93,128.33
127,233233.29,4283346.8100000005,128.19
128,233236.21,4283346.19,128.2
129,233237.30000000002,4283344.65,128.28
130,233237.2,4283342.69,128.36
131,233238.12,4283342.14,128.35
132,233238.22,4283344.01,128.27
133,233238.31,4283345.9,128.18
134,233239.49,4283346.36,128.17000000000002
135,233245.57,4283345.3100000005,128.18
136,233246.43,4283342.21,128.27
137,233246.48,4283343.13,128.23
138,233246.52000000002,4283344.07,128.19
139,233251.63,4283341.5600000005,128.26
140,233252.58000000002,4283342.37,128.24
141,233257.82,4283341.5600000005,128.29
142,233258.77000000002,4283341.54,128.24
143,233258.82,4283342.5200000005,128.22
144,233258.86000000002,4283343.46,128.18
145,233258.95,4283345.39,128.15
146,233260.11000000002,4283345.13,128.12
147,233259.97,4283342.19,128.22
148,233261.0,4283344.2700000005,128.14000000000001
149,233262.97,4283343.47,128.14000000000001
150,233263.06,4283345.35,128.06
151,233264.11000000002,4283343.37,128.11
152,233266.06,4283341.42,128.16
153,233266.97,4283341.5600000005,128.1
154,233267.01,4283342.53,128.09
155,233269.19,4283343.82,128.01
156,233269.23,4283344.79,128.0
157,233270.18,4283341.8100000005,128.08
158,233273.2,4283343.18,128.01
159,233273.30000000002,4283345.08,127.99000000000001
160,233275.1,4283340.85,128.06
161,233275.19,4283342.74,128.01
162,233275.23,4283343.68,127.99000000000001
163,233276.4,4283344.55,127.93
164,233277.22,4283341.15,127.96000000000001
165,233277.31,4283343.0600000005,128.0
166,233277.36000000002,4283343.99,127.97
167,233278.5,4283344.64,127.93
168,233279.2,4283341.22,127.97
169,233279.25,4283342.15,127.95
170,233279.29,4283343.09,127.94
171,233279.34,4283344.03,127.94
172,233279.39,4283344.99,127.92
173,233280.46,4283344.29,127.89
174,233280.37,4283342.3100000005,127.94
175,233281.29,4283341.19,127.96000000000001
176,233281.33000000002,4283342.11,127.92
177,233281.37,4283343.05,127.96000000000001
178,233281.42,4283344.0,127.88000000000001
179,233281.46,4283344.95,127.88000000000001
