,x,y,z
0,379687.78,3889557.5300000003,140.06
1,379687.81,3889558.29,140.09
2,379687.93,3889561.33,140.68
3,379687.96,3889562.14,140.83
4,379688.02,3889563.61,141.17000000000002
5,379688.05,3889564.39,141.44
6,379688.09,3889565.19,141.68
7,379688.12,3889565.92,141.96
8,379688.17,3889566.69,142.29
9,379688.21,3889567.45,142.66
10,379688.29,3889568.92,143.42000000000002
11,379688.38,3889570.2600000002,144.37
12,379688.43,3889570.98,144.79
13,379688.46,3889571.72,145.18
14,379688.56,3889574.02,145.64000000000001
15,379688.68,3889578.0500000003,145.71
16,379688.7,3889578.86,145.73
17,379688.84,3889587.12,144.07
18,379688.97000000003,3889594.64,142.76
19,379689.15,3889557.2600000002,140.1
20,379689.22000000003,3889559.62,140.20000000000002
21,379689.25,3889560.39,140.42000000000002
22,379689.28,3889561.13,140.62
23,379689.31,3889561.87,140.8
24,379689.38,3889563.5,141.12
25,379689.41000000003,3889564.21,141.35
26,379689.44,3889565.0,141.6
27,379689.51,3889566.5700000003,142.18
28,379689.56,3889567.27,142.51
29,379689.64,3889568.66,143.3
30,379689.82,3889571.54,145.05
31,379689.89,3889573.0100000002,145.6
32,379689.91000000003,3889573.81,145.67000000000002
33,379689.96,3889575.39,145.69
34,379689.98,3889576.2600000002,145.68
35,379690.03,3889577.91,145.66
36,379690.07,3889579.45,145.70000000000002
37,379690.09,3889580.23,145.69
38,379690.19,3889586.02,144.58
39,379690.2,3889586.93,144.27
40,379690.21,3889587.77,143.98
41,379690.22000000003,3889588.65,143.70000000000002
42,379690.24,3889591.24,142.97
43,379690.26,3889592.04,142.88
44,379690.28,3889592.8000000003,142.81
45,379690.35000000003,3889595.23,142.75
46,379690.4,3889597.64,142.59
47,379689.82,3889557.85,140.12
48,379689.9,3889560.19,140.4
49,379689.93,3889560.95,140.64000000000001
50,379689.98,3889562.52,140.91
51,379690.05,3889564.12,141.29
52,379690.09,3889564.89,141.57
53,379690.12,3889565.62,141.81
54,379690.19,3889567.06,142.39000000000001
55,379690.23,3889567.77,142.74
56,379690.28,3889568.52,143.19
57,379690.37,3889569.94,144.11
58,379690.5,3889572.09,145.32
59,379690.62,3889576.14,145.66
60,379690.65,3889576.9,145.66
61,379690.69,3889578.44,145.66
62,379690.71,3889579.22,145.70000000000002
63,379690.95,3889593.41,142.83
64,379691.07,3889598.3000000003,142.58
65,379690.09,3889557.5300000003,140.13
66,379690.21,3889560.72,140.6
67,379690.27,3889562.33,140.9
68,379690.33,3889563.81,141.21
69,379690.36,3889564.5300000003,141.45000000000002
70,379690.43,3889566.06,141.97
71,379690.51,3889567.52,142.61
72,379690.55,3889568.23,143.01
73,379690.59,3889568.93,143.43
74,379690.64,3889569.69,143.9
75,379690.69,3889570.41,144.4
76,379690.77,3889571.88,145.21
77,379690.81,3889572.64,145.48
78,379690.84,3889573.46,145.66
79,379690.87,3889574.21,145.68
80,379690.89,3889574.98,145.68
81,379690.91000000003,3889575.7600000002,145.64000000000001
82,379690.92,3889576.5500000003,145.63
83,379690.97000000003,3889578.13,145.67000000000002
84,379691.0,3889578.96,145.70000000000002
85,379691.04,3889580.5100000002,145.74
86,379691.12,3889557.19,140.16
87,379691.14,3889558.0300000003,140.19
88,379691.26,3889561.12,140.76
89,379691.29,3889561.88,140.89000000000001
90,379691.31,3889562.65,140.96
91,379691.38,3889564.18,141.36
92,379691.44,3889565.69,141.83
93,379691.52,3889567.17,142.42000000000002
94,379691.56,3889567.93,142.84
95,379691.60000000003,3889568.63,143.23
96,379691.66000000003,3889569.4,143.67000000000002
97,379691.7,3889570.13,144.16
98,379691.83,3889572.3000000003,145.33
99,379691.86,3889573.0100000002,145.55
100,379691.89,3889573.7800000003,145.63
101,379691.95,3889576.21,145.62
102,379692.0,3889577.74,145.67000000000002
103,379692.02,3889578.56,145.70000000000002
104,379692.04,3889579.41,145.72
105,379692.2,3889587.64,144.38
106,379692.21,3889590.22,143.29
107,379692.63,3889557.66,140.26
108,379692.66000000003,3889558.43,140.29
109,379692.68,3889559.2,140.36
110,379692.71,3889559.93,140.5
111,379692.74,3889560.67,140.71
112,379692.77,3889561.46,140.91
113,379692.8,3889562.24,140.99
114,379692.86,3889563.77,141.3
115,379692.89,3889564.5,141.5
116,379692.93,3889565.2800000003,141.76
117,379692.96,3889566.09,142.0
118,379693.04,3889567.56,142.62
119,379693.08,3889568.3200000003,143.01
120,379693.13,3889569.08,143.44
121,379693.17,3889569.77,143.87
122,379693.21,3889570.47,144.25
123,379693.25,3889571.15,144.65
124,379693.29,3889571.87,145.04
125,379693.34,3889572.64,145.41
126,379693.36,3889573.37,145.56
127,379693.39,3889574.2,145.56
128,379693.46,3889576.5700000003,145.63
129,379693.48,3889577.4,145.62
130,379693.53,3889579.0,145.65
131,379693.57,3889580.65,145.68
132,379693.60000000003,3889581.42,145.71
133,379693.67,3889584.63,145.42000000000002
134,379693.68,3889585.46,145.12
135,379693.68,3889586.37,144.69
136,379693.69,3889587.23,144.33
137,379693.69,3889588.06,143.98
138,379693.77,3889593.25,142.74
139,379693.84,3889596.38,142.57
140,379693.54,3889558.24,140.4
141,379693.59,3889559.8200000003,140.57
142,379693.68,3889562.09,141.0
143,379693.74,3889563.67,141.3
144,379693.78,3889564.45,141.5
145,379693.91000000003,3889567.52,142.54
146,379693.96,3889568.23,142.88
147,379694.03,3889569.63,143.69
148,379694.08,3889570.33,144.12
149,379694.17,3889571.7800000003,144.93
150,379694.2,3889572.52,145.29
151,379694.29,3889574.86,145.56
152,379694.31,3889575.68,145.61
153,379694.36,3889577.3000000003,145.64000000000001
154,379694.38,3889578.1,145.65
155,379693.97000000003,3889557.44,140.39000000000001
156,379694.01,3889559.02,140.5
157,379694.04,3889559.77,140.6
158,379694.10000000003,3889561.31,140.92000000000002
159,379694.13,3889562.14,141.01
160,379694.19,3889563.68,141.34
161,379694.23,3889564.47,141.56
162,379694.26,3889565.2600000002,141.75
163,379694.29,3889566.0,141.98
164,379694.36,3889567.43,142.5
165,379694.4,3889568.14,142.85
166,379694.53,3889570.34,144.15
167,379694.62,3889571.75,144.92000000000002
168,379694.65,3889572.5,145.28
169,379694.71,3889574.0700000003,145.48
170,379694.73,3889574.9,145.52
171,379694.76,3889575.71,145.59
172,379694.79,3889576.5500000003,145.63
173,379694.81,3889577.31,145.63
174,379694.85000000003,3889578.86,145.62
175,379694.9,3889580.47,145.64000000000001
176,379694.99,3889587.21,143.94
177,379694.99,3889588.13,143.57
178,379695.18,3889597.08,142.52
179,379694.59,3889557.36,140.45000000000002
180,379694.62,3889558.12,140.48
181,379694.66000000003,3889559.7600000002,140.64000000000001
182,379694.7,3889560.52,140.79
183,379694.75,3889562.14,141.03
184,379694.82,3889563.68,141.36
185,379694.85000000003,3889564.41,141.54
186,379694.91000000003,3889565.87,141.95000000000002
187,379694.94,3889566.66,142.19
188,379695.15,3889570.2800000003,144.1
189,379695.2,3889571.04,144.53
190,379695.36,3889574.89,145.51
191,379695.41000000003,3889576.43,145.6
192,379695.54,3889581.18,145.63
193,379695.71,3889592.99,142.68
194,379695.79,3889596.2600000002,142.49
195,379695.84,3889597.95,142.52
196,379696.01,3889557.39,140.59
197,379696.03,3889558.17,140.64000000000001
198,379696.17,3889562.13,141.08
199,379696.22000000003,3889563.62,141.34
200,379696.32,3889565.95,141.94
201,379696.36,3889566.67,142.16
202,379696.44,3889568.15,142.8
203,379696.52,3889569.63,143.57
204,379696.56,3889570.36,144.09
205,379696.71,3889573.36,145.23
206,379696.76,3889574.87,145.4
207,379696.84,3889577.27,145.5
208,379696.86,3889578.0500000003,145.5
209,379696.95,3889581.25,145.52
210,379697.01,3889584.65,144.94
211,379697.08,3889591.37,142.75
212,379697.11,3889592.21,142.76
213,379697.12,3889593.0700000003,142.68
214,379697.14,3889593.83,142.63
215,379697.18,3889595.5500000003,142.49
216,379697.25,3889597.96,142.48
217,379697.21,3889560.74,140.98
218,379697.27,3889562.34,141.1
219,379697.29,3889563.09,141.17000000000002
220,379697.36,3889564.63,141.57
221,379697.42,3889566.16,141.96
222,379697.53,3889568.43,142.83
223,379697.62,3889569.94,143.70000000000002
224,379697.79,3889573.6,144.97
225,379697.87,3889575.95,145.26
226,379698.15,3889590.88,142.81
227,379697.78,3889558.71,140.8
228,379697.86,3889561.04,141.05
229,379697.88,3889561.84,141.08
230,379697.93,3889563.36,141.24
231,379697.96,3889564.16,141.45000000000002
232,379698.0,3889564.96,141.62
233,379698.06,3889566.49,142.02
234,379698.10000000003,3889567.27,142.28
235,379698.14,3889568.06,142.59
236,379698.17,3889568.7600000002,142.92000000000002
237,379698.25,3889570.14,143.72
238,379698.34,3889571.63,144.44
239,379698.39,3889573.19,144.69
240,379698.48,3889575.5,145.01
241,379698.5,3889576.34,145.09
242,379698.55,3889577.93,145.1
243,379698.75,3889589.5500000003,142.8
244,379698.86,3889594.43,142.5
245,379698.88,3889595.25,142.46
246,379698.97000000003,3889598.45,142.51
247,379698.42,3889557.99,140.85
248,379698.48,3889559.59,140.93
249,379698.52,3889561.1,141.08
250,379698.64,3889564.31,141.46
251,379698.76,3889567.37,142.28
252,379698.88,3889569.5500000003,143.29
253,379698.92,3889570.25,143.67000000000002
254,379699.02,3889572.5100000002,144.36
255,379699.09,3889574.11,144.67000000000002
256,379699.16000000003,3889576.5300000003,144.8
257,379699.18,3889577.36,144.78
258,379699.2,3889578.13,144.78
259,379699.22000000003,3889578.9,144.78
260,379699.26,3889580.47,144.71
261,379699.32,3889582.93,144.58
262,379699.35000000003,3889584.5300000003,144.27
263,379699.55,3889595.39,142.43
264,379699.64,3889598.6,142.54
265,379699.4,3889557.43,140.99
266,379699.48,3889559.8200000003,141.02
267,379699.52,3889561.39,141.13
268,379699.55,3889562.23,141.21
269,379699.58,3889563.04,141.25
270,379699.69,3889566.08,141.81
271,379699.72000000003,3889566.8000000003,142.02
272,379699.76,3889567.59,142.27
273,379699.84,3889569.09,142.89000000000001
274,379700.09,3889575.3000000003,144.32
275,379700.11,3889576.08,144.3
276,379700.13,3889576.85,144.27
277,379700.15,3889577.62,144.26
278,379700.22000000003,3889580.0300000003,144.21
279,379700.3,3889583.27,144.02
280,379700.34,3889586.72,143.13
281,379700.36,3889587.59,142.95000000000002
282,379700.37,3889588.38,142.83
283,379700.39,3889589.17,142.72
284,379700.44,3889590.74,142.70000000000002
285,379700.47000000003,3889592.36,142.64000000000001
286,379700.49,3889593.2,142.54
287,379700.56,3889595.61,142.44
288,379700.43,3889559.08,141.02
289,379700.45,3889559.89,141.07
290,379700.55,3889563.08,141.21
291,379700.59,3889563.8200000003,141.35
292,379700.65,3889565.37,141.66
293,379700.67,3889566.12,141.76
294,379700.7,3889566.91,141.96
295,379700.73,3889567.65,142.18
296,379700.77,3889568.37,142.43
297,379700.8,3889569.16,142.73
298,379700.88,3889570.65,143.28
299,379700.92,3889571.45,143.48
300,379700.94,3889572.2600000002,143.63
301,379700.98,3889573.06,143.82
302,379701.0,3889573.8200000003,143.85
303,379701.04,3889575.35,143.85
304,379701.07,3889576.16,143.86
305,379701.09,3889576.96,143.85
306,379701.11,3889577.75,143.84
307,379701.13,3889578.58,143.84
308,379701.15,3889579.35,143.82
309,379701.18,3889580.14,143.79
310,379701.2,3889580.97,143.77
311,379701.29,3889585.17,143.31
312,379701.36,3889589.23,142.68
313,379701.38,3889590.0100000002,142.64000000000001
314,379701.45,3889592.39,142.56
315,379701.51,3889594.9,142.43
316,379701.54,3889595.71,142.48
317,379701.56,3889596.54,142.53
318,379701.62,3889598.93,142.46
319,379701.39,3889558.1,141.09
320,379701.44,3889559.67,141.18
321,379701.46,3889560.45,141.23
322,379701.5,3889562.0,141.24
323,379701.58,3889564.37,141.45000000000002
324,379701.64,3889565.87,141.67000000000002
325,379701.8,3889569.7800000003,142.74
326,379701.98,3889574.38,143.55
327,379702.0,3889575.14,143.55
328,379702.04,3889576.7600000002,143.51
329,379702.06,3889577.5500000003,143.46
330,379702.09,3889578.38,143.49
331,379702.17,3889581.66,143.45000000000002
332,379702.25,3889584.86,143.13
333,379702.26,3889585.68,143.01
334,379702.28,3889586.56,142.88
335,379702.3,3889587.35,142.77
336,379702.35000000003,3889589.74,142.63
337,379702.4,3889591.42,142.62
338,379702.42,3889592.18,142.56
339,379702.44,3889593.06,142.49
340,379702.46,3889593.91,142.43
341,379702.53,3889596.27,142.5
342,379702.55,3889597.04,142.49
343,379702.57,3889597.83,142.49
344,379702.59,3889598.64,142.5
345,379702.28,3889558.63,141.19
346,379702.31,3889559.38,141.26
347,379702.34,3889560.15,141.29
348,379702.46,3889564.11,141.41
349,379702.48,3889564.94,141.51
350,379702.51,3889565.75,141.64000000000001
351,379702.57,3889567.3000000003,141.89000000000001
352,379702.63,3889568.89,142.27
353,379702.72000000003,3889571.09,142.77
354,379702.76,3889571.86,142.95000000000002
355,379702.79,3889572.67,143.1
356,379702.84,3889574.22,143.28
357,379702.91000000003,3889576.6,143.31
358,379702.93,3889577.44,143.3
359,379703.02,3889580.71,143.29
360,379703.04,3889581.49,143.25
361,379703.13,3889585.49,142.91
362,379703.19,3889587.9,142.71
363,379703.29,3889592.06,142.56
364,379703.38,3889595.23,142.43
365,379703.42,3889596.8200000003,142.5
366,379703.14,3889557.36,141.20000000000002
367,379703.16000000003,3889558.13,141.22
368,379703.3,3889562.9,141.36
369,379703.32,3889563.74,141.37
370,379703.34,3889564.5,141.43
371,379703.37,3889565.3200000003,141.56
372,379703.41000000003,3889566.13,141.65
373,379703.49,3889568.43,142.04
374,379703.52,3889569.17,142.19
375,379703.55,3889569.92,142.31
376,379703.58,3889570.73,142.46
377,379703.60000000003,3889571.46,142.59
378,379703.64,3889572.27,142.79
379,379703.66000000003,3889573.02,142.91
380,379703.7,3889573.77,143.02
381,379703.72000000003,3889574.58,143.07
382,379703.74,3889575.42,143.12
383,379703.76,3889576.2,143.12
384,379703.79,3889577.0300000003,143.12
385,379703.84,3889578.69,143.09
386,379703.85000000003,3889579.49,143.09
387,379703.87,3889580.2600000002,143.09
388,379703.91000000003,3889581.81,143.01
389,379703.94,3889582.65,142.98
390,379703.96,3889583.44,142.94
391,379703.98,3889584.27,142.87
392,379703.99,3889585.06,142.81
393,379704.01,3889585.83,142.74
394,379704.05,3889587.5500000003,142.67000000000002
395,379704.08,3889588.3000000003,142.65
396,379704.10000000003,3889589.16,142.63
397,379704.12,3889589.99,142.59
398,379704.14,3889590.85,142.55
399,379704.15,3889591.62,142.53
400,379704.18,3889592.41,142.49
401,379704.25,3889594.8200000003,142.44
402,379704.29,3889596.38,142.47
403,379704.31,3889597.16,142.46
404,379704.33,3889597.95,142.45000000000002
405,379704.36,3889598.81,142.45000000000002
406,379703.82,3889558.24,141.28
407,379703.94,3889562.2,141.4
408,379704.01,3889564.67,141.48
409,379704.07,3889566.18,141.68
410,379704.10000000003,3889566.93,141.78
411,379704.12,3889567.69,141.88
412,379704.15,3889568.49,142.02
413,379704.2,3889570.0500000003,142.22
414,379704.27,3889571.54,142.5
415,379704.29,3889572.36,142.69
416,379704.38,3889574.74,142.99
417,379704.47000000003,3889577.95,143.0
418,379704.49,3889578.71,142.97
419,379704.53,3889580.35,142.95000000000002
420,379704.56,3889581.11,142.92000000000002
421,379704.58,3889581.95,142.87
422,379704.59,3889582.72,142.88
423,379704.63,3889584.34,142.77
424,379704.68,3889585.96,142.70000000000002
425,379704.72000000003,3889587.66,142.65
426,379704.74,3889588.49,142.63
427,379704.78,3889590.06,142.56
428,379704.81,3889590.84,142.54
429,379704.86,3889593.2600000002,142.46
430,379704.88,3889594.0700000003,142.43
431,379704.91000000003,3889594.86,142.42000000000002
432,379704.93,3889595.61,142.45000000000002
433,379704.96,3889596.44,142.48
434,379704.98,3889597.3000000003,142.44
435,379705.02,3889598.91,142.44
436,379704.76,3889558.61,141.38
437,379704.79,3889559.33,141.56
438,379704.82,3889560.18,141.6
439,379704.88,3889562.62,141.46
440,379704.9,3889563.39,141.5
441,379704.93,3889564.16,141.52
442,379704.95,3889564.95,141.55
443,379705.04,3889567.3000000003,141.85
444,379705.09,3889568.83,142.02
445,379705.17,3889571.2,142.31
446,379705.23,3889572.81,142.63
447,379705.26,3889573.62,142.75
448,379705.31,3889575.15,142.91
449,379705.33,3889575.91,142.93
450,379705.36,3889576.68,142.92000000000002
451,379705.41000000003,3889579.15,142.79
452,379705.43,3889579.91,142.75
453,379705.46,3889580.7,142.74
454,379705.48,3889581.5300000003,142.74
455,379705.51,3889582.36,142.75
456,379705.52,3889583.15,142.71
457,379705.54,3889583.99,142.68
458,379705.65,3889587.98,142.61
459,379705.69,3889589.61,142.55
460,379705.72000000003,3889590.4,142.54
461,379705.74,3889591.22,142.49
462,379705.76,3889592.0,142.48
463,379705.8,3889593.62,142.45000000000002
464,379705.82,3889594.48,142.4
465,379705.87,3889596.09,142.43
466,379705.9,3889596.91,142.42000000000002
467,379705.93,3889598.5300000003,142.42000000000002
468,379705.96,3889557.04,141.35
469,379706.0,3889558.67,141.5
470,379706.06,3889560.2600000002,141.57
471,379706.09,3889561.8000000003,141.54
472,379706.14,3889563.4,141.56
473,379706.19,3889565.0,141.66
474,379706.24,3889566.5100000002,141.81
475,379706.37,3889570.5500000003,142.11
476,379706.4,3889571.37,142.26
477,379706.46,3889572.86,142.56
478,379706.49,3889573.6,142.65
479,379706.5,3889574.34,142.72
480,379706.58,3889576.79,142.83
481,379706.60000000003,3889577.5500000003,142.8
482,379706.66000000003,3889580.04,142.67000000000002
483,379706.68,3889580.81,142.65
484,379706.71,3889581.63,142.65
485,379706.77,3889584.09,142.65
486,379706.8,3889584.86,142.66
487,379706.84,3889586.44,142.62
488,379706.87,3889588.06,142.56
