,x,y,z
0,233390.18,4282881.21,128.25
1,233390.12,4282880.2700000005,128.28
2,233390.07,4282879.32,128.26
3,233390.01,4282878.41,128.31
4,233389.52000000002,4282869.95,128.1
5,233388.54,4282853.16,127.77
6,233388.48,4282852.22,127.78
7,233388.43,4282851.26,127.76
8,233388.37,4282850.33,127.75
9,233388.26,4282848.48,127.7
10,233387.18,4282848.99,127.71000000000001
11,233387.30000000002,4282850.95,127.75
12,233387.42,4282852.94,127.82000000000001
13,233387.47,4282853.93,127.85000000000001
14,233387.52000000002,4282854.94,127.82000000000001
15,233387.76,4282858.91,127.92
16,233387.81,4282859.89,127.94
17,233387.87,4282860.89,127.93
18,233387.93,4282861.89,127.96000000000001
19,233388.03,4282863.86,127.98
20,233388.72,4282875.8100000005,128.2
21,233388.78,4282876.8100000005,128.27
22,233388.88,4282878.8,128.21
23,233388.95,4282879.8,128.22
24,233389.0,4282880.8100000005,128.18
25,233389.11000000002,4282882.79,128.16
26,233389.23,4282884.82,128.11
27,233389.28,4282885.79,128.13
28,233389.33000000002,4282886.8100000005,128.13
29,233389.4,4282887.8,128.14000000000001
30,233389.56,4282890.8100000005,128.11
31,233389.62,4282891.8,128.09
32,233389.67,4282892.82,128.09
33,233389.72,4282893.8,128.03
34,233389.78,4282894.8100000005,128.06
35,233389.89,4282896.82,128.08
36,233390.22,4282902.84,127.89
37,233390.93,4282915.89,127.49000000000001
38,233390.99,4282916.89,127.45
39,233391.04,4282917.9,127.42
40,233391.1,4282918.91,127.38000000000001
41,233391.15,4282919.91,127.35000000000001
42,233391.21,4282920.91,127.29
43,233391.27000000002,4282921.93,127.31
44,233391.43,4282924.95,127.18
45,233391.49,4282925.96,127.18
46,233391.59,4282927.96,127.11
47,233391.98,4282934.99,127.06
48,233391.33000000002,4282937.79,127.02
49,233391.21,4282935.86,127.05
50,233391.05000000002,4282933.0,127.04
51,233391.0,4282932.05,127.11
52,233390.95,4282931.09,127.09
53,233390.89,4282930.12,127.13000000000001
54,233390.68,4282926.32,127.18
55,233390.57,4282924.43,127.21000000000001
56,233390.31,4282919.67,127.37
57,233390.26,4282918.73,127.41
58,233390.2,4282917.7700000005,127.42
59,233390.05000000002,4282914.93,127.55
60,233390.0,4282913.98,127.55
61,233389.94,4282913.04,127.57000000000001
62,233389.2,4282899.85,127.93
63,233389.15,4282898.91,127.97
64,233389.05000000002,4282897.0200000005,128.02
65,233388.94,4282895.14,128.03
66,233388.88,4282894.22,128.05
67,233388.84,4282893.3,128.06
68,233388.78,4282892.35,128.07
69,233388.73,4282891.41,128.1
70,233388.67,4282890.46,128.09
71,233388.52000000002,4282887.67,128.12
72,233388.25,4282883.0200000005,128.13
73,233388.2,4282882.08,128.11
74,233388.14,4282881.14,128.1
75,233388.04,4282879.26,128.21
76,233387.98,4282878.35,128.22
77,233387.93,4282877.42,128.23
78,233387.66,4282872.76,128.14000000000001
79,233387.39,4282868.14,128.04
80,233386.42,4282851.47,127.77
81,233386.37,4282850.53,127.73
82,233386.31,4282849.6,127.71000000000001
83,233385.2,4282850.32,127.66
84,233385.25,4282851.3,127.72
85,233385.31,4282852.3100000005,127.76
86,233385.37,4282853.3,127.76
87,233385.48,4282855.2700000005,127.78
88,233385.59,4282857.24,127.8
89,233385.77000000002,4282860.22,127.86
90,233385.94,4282863.2,127.91
91,233386.04,4282865.19,127.98
92,233386.11000000002,4282866.17,128.0
93,233386.38,4282871.15,128.1
94,233386.45,4282872.13,128.12
95,233386.49,4282873.11,128.13
96,233386.55000000002,4282874.11,128.15
97,233386.61000000002,4282875.11,128.19
98,233386.66,4282876.09,128.17000000000002
99,233386.78,4282878.09,128.2
100,233386.83000000002,4282879.09,128.17000000000002
101,233386.88,4282880.1,128.13
102,233386.94,4282881.07,128.16
103,233387.0,4282882.08,128.13
104,233387.17,4282885.07,128.1
105,233387.22,4282886.0600000005,128.13
106,233387.55000000002,4282892.04,128.06
107,233387.72,4282895.04,128.03
108,233387.77000000002,4282896.04,128.0
109,233387.88,4282898.04,127.96000000000001
110,233387.94,4282899.0600000005,127.94
111,233388.16,4282903.05,127.89
112,233388.21,4282904.04,127.86
113,233388.48,4282909.05,127.71000000000001
114,233388.54,4282910.0600000005,127.69
115,233388.81,4282915.0600000005,127.55
116,233388.86000000002,4282916.0600000005,127.53
117,233388.92,4282917.07,127.49000000000001
118,233388.98,4282918.07,127.53
119,233389.08000000002,4282920.08,127.39
